time_points	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230
CNAG_00109	38.964	63.407	154.228	66.706	98.284	110.313	138.194	108.04	130.081	116.724	88.022	86.895	104.903	95.702	108.599	78.771	103.974	95.825	87.739	83.889	95.712	90.9	84.507	78.605
CNAG_00110	2.421	15.624	72.213	178.636	106.155	59.672	44.772	15.071	9.069	23.949	46.257	43.699	36.82	30.15	21.862	27.07	31.098	34.119	35.396	34.9	27.3	22.517	22.466	25.669
CNAG_00111	22.795	29.82	29.72	33.352	41.421	57.181	73.02	67.312	60.073	51.905	47.946	48.436	56.493	55.368	53.373	51.338	48.193	46.249	48.181	47.938	48.968	49.796	48.492	42.834
CNAG_00115	242.576	149.428	24.197	10.817	17.501	18.955	19.872	20.754	26.725	42.794	60.088	88.224	92.455	93.968	90.479	84.906	91.956	107.16	122.926	125.17	117.612	117.221	112.461	112.352
CNAG_00116	577.953	1096.91	2257.21	1389.29	4227.1	3518.69	3394.27	3186.58	4134.24	3578.71	1935.05	2405.32	3427.47	3275.38	3247.63	1377.68	3004.9	2869.52	2487.54	2521.67	2491.04	2405	2425.9	2335.81
CNAG_00117	45.465	46.426	51.971	70.213	79.646	98.526	119.371	100.339	69.017	72.394	67.238	70.222	74.637	75.34	70.649	66.624	65.626	67.773	69.66	69.121	67.569	63.995	66.103	62.615
CNAG_00118	12.736	14.357	29.585	35.783	32.592	27.057	29.106	23.934	16.433	20.059	22.473	26.901	28.901	27.816	24.089	24.622	22.409	24.87	26.382	26.695	25.213	24.75	22.827	21.368
CNAG_00119	8.877	7.123	3.364	5.104	9.096	9.187	8.997	6.903	11.334	9.745	6.667	8.392	12.393	9.589	11.522	5.143	10.653	13.34	12.012	15.08	12.612	12.169	11.577	11.164
CNAG_00120	5.017	9.07	4.796	6.891	18.421	24.302	30.279	26.588	25.614	22.511	13.502	14.226	17.326	17.026	17.394	12.154	16.375	17.328	15.704	17.147	14.741	17.135	15.843	15.167
CNAG_00121	1130.68	989.957	594.393	153.643	37.177	15.563	20.669	20.421	26.607	49.465	93.414	142.813	153.713	190.786	207.039	262.091	238.961	251.629	285.254	300.846	297.183	295.506	300.462	285.017
CNAG_00122	8.751	9.931	67.494	132.031	60.458	32.168	31.389	19.822	16.898	38.417	50.004	42.518	33.762	31.172	29.058	34.787	38.502	42.582	41.307	37.397	32.782	28.795	32.773	33.51
CNAG_00123	9.766	1.636	1.07	1.064	1.055	1	1.054	1.215	1.257	1.368	1.512	1.527	1.467	1.424	1.863	1.945	2.332	2.02	1.693	2.529	1.993	2.359	2.945	2.388
CNAG_00124	8.41	23.578	19.589	23.157	11.568	9.177	8.928	8.913	11.331	19.228	20.14	15.405	13.368	13.335	12.973	16.567	16.098	16.27	14.561	13.963	14.166	14.931	16.846	16.882
CNAG_00125	3.51	2.938	2.951	2.475	2	1.827	1.86	1.473	1.948	1.917	1.824	1.718	1.668	1.897	1.772	1.925	2.207	1.804	1.824	1.751	1.823	1.94	1.713	2.027
CNAG_00126	19.945	26.649	32.687	34.658	53.911	58.465	64	50.749	45.51	64.899	71.487	79.391	66.817	58.507	53.289	39.312	70.641	76.841	71.959	66.558	56	53.198	51.247	61.15
CNAG_00127	4.676	23.124	18.18	11.433	5.759	5.287	6.368	9.655	9.529	9.472	8.488	6.551	6.422	6.931	9.728	8.112	7.064	6.602	5.738	5.462	5.953	7.169	7.63	7.325
CNAG_00128	1.373	5.922	3.512	2.313	1.342	1.114	1.814	3.367	4.353	3.759	2.298	2.346	2.205	2.194	2.822	2.893	3.213	2.12	1.697	2.104	2.465	2.607	2.604	2.954
CNAG_00129	11.843	40.865	31.374	24.853	20.215	20.547	19.166	14.403	13.687	17.849	18.139	18.523	16.669	16.591	16.971	17.186	17.863	16.559	14.78	15.983	14.422	14.37	16.016	15.789
CNAG_00130	86.613	4.549	1.565	1.542	1.929	4.09	9.351	49.993	60.881	35.235	22.158	19.081	20.157	27.765	38.148	41.789	34.048	29.007	27.297	28.024	34.064	42.025	55.323	51.146
CNAG_00131	9.152	4.319	1.711	2.071	3.201	3.318	3.575	3.234	2.76	2.534	3.153	3.699	4.136	3.749	4.241	3.26	3.989	3.742	3.781	4.378	4.037	4.992	3.44	3.617
CNAG_00132	1.862	1.567	1.625	1.734	1.363	1.215	1.298	1.294	1.525	1.712	1.678	1.567	1.558	1.478	1.531	1.541	1.629	1.891	1.871	1.517	1.683	1.855	1.786	1.831
CNAG_00133	11.581	7.054	3.742	2.066	1.579	2.117	1.653	4.039	4.543	4.935	5.139	6.513	5.078	5.689	6.712	7.77	5.519	4.731	5.115	4.571	6.276	7.67	7.826	6.536
