GENE_ID	GSM77298_T1	GSM77299_T2	GSM77300_T3	GSM77301_T4	GSM77302_T5	GSM77303_T6	GSM77304_T7	GSM77305_T8	GSM77306_T9	GSM77307_T10	GSM77308_T11	GSM77309_T12	GSM77310_T13	GSM77311_T14	GSM77312_T15	GSM77313_T16	GSM77314_T17	GSM77315_T18	GSM77316_T19	GSM77317_T20	GSM77318_T21	GSM77319_T22	GSM77320_T23	GSM77321_T24	GSM77322_T25	GSM77323_T26	GSM77324_T27	GSM77325_T28	GSM77326_T29	GSM77327_T30	GSM77328_T31	GSM77329_T32	GSM77330_T33	GSM77331_T34	GSM77332_T35	GSM77333_T36
YBL087C|RPL23A	39.464	24.55	35.26	31.943	33.257	34.675	41.239	37.262	67.126	55.212	43.6	38.141	37.134	28.675	32.04	35.963	40.347	29.633	34.649	38.174	68.411	36.668	37.909	35.922	49.441	21.786	36.681	27.337	32.417	36.264	42.688	59.079	46.289	34.649	32.106	35.088
YBL095W|NA	5.911	5.776	4.658	3.171	2.615	2.757	2.964	4.24	2.479	2.323	3.204	2.575	5.13	5.048	3.717	3.475	4.01	2.497	3.319	3.479	2.562	2.593	2.829	3.553	6.73	7.085	4.069	3.118	2.879	2.93	3.217	2.953	2.377	2.172	2.807	3.846
YBR063C|NA	0.638	0.898	0.893	1.142	0.882	1.315	1.148	1.323	2.316	0.786	0.704	0.793	0.581	1.024	1.289	1.337	0.941	1.459	1.277	2.106	0.727	0.863	0.844	0.956	0.565	0.686	1.208	1.403	1.482	1.389	1.431	2.477	0.819	0.909	0.879	0.965
YBR230C|OM14	32.03	50.938	50.291	47.196	34.464	35.489	32.203	29.204	7.623	19.261	17.228	14.152	33.129	50.128	48.536	47.048	46.972	29.395	28.324	17.066	25.725	15.703	16.843	17.416	41.448	61.727	50.637	32.57	32.751	30.987	30.587	12.541	23.474	13.104	11.972	15.44
YDR070C|FMP16	5.361	41.64	38.216	38.766	38.514	37.565	37.362	29.832	8.151	4.339	4.546	3.129	6.295	36.307	35.799	40.621	32.055	32.824	30.672	18.623	5.449	5.478	3.703	2.71	5.245	34.605	35.68	32.069	33.789	32.978	28.833	23.595	4.962	4.975	2.575	2.88
YDR487C|RIB3	8.085	6.17	5.893	4.92	5.073	5.277	6.499	5.678	4.907	5.952	7.551	5.383	7.257	6.165	5.983	6.065	6.143	4.978	5.618	7.799	4.435	6.517	7.044	7.357	10.988	5.935	5.714	3.922	4.436	4.672	5.379	7.145	4.864	5.517	6.297	7.389
YER004W|FMP52	20.507	37.927	29.268	42.702	37.772	36.526	43.223	34.864	7.695	10.272	13.816	13.38	26.654	33.947	39.481	39.444	32.055	31.473	32.132	22.776	7.874	12.078	15.266	12.799	29.77	36.331	30.943	26.743	31.662	28.308	31.805	16.198	9.055	10.012	12.093	13.632
YER048W-A|ISD11	6.156	5.741	2.843	3.389	1.875	2.48	2.671	2.438	2.654	3.528	3.584	4.346	2.575	6.017	4.449	3.138	2.224	3.698	2.598	2.673	1.745	3.197	3.655	3.466	3.543	5.843	4.43	4.547	4.167	3.681	2.801	3.315	3.097	2.678	3.696	3.665
YGR029W|ERV1	5.208	5.113	3.443	3.484	2.833	3.26	3.116	2.765	2.62	4.952	4.819	4.183	5.268	5.549	5.032	3.994	3.63	3.94	2.654	2.113	2.893	3.583	4.097	3.494	7.366	7.199	2.981	3.572	3.483	3.585	3.716	1.979	4.322	3.568	3.606	3.787
YHR100C|NA	2.154	1.69	1.304	1.222	1.23	1.343	1.064	1.39	2.304	2.297	1.898	1.829	2.013	1.509	1.576	1.096	1.414	1.36	1.131	1.394	1.594	1.581	1.794	1.89	2.963	1.841	1.354	1.234	1.272	1.325	1.471	1.466	2.147	1.357	1.545	1.666
YIL087C|LRC2	7.831	13.014	11.283	14.163	14.856	14.929	14.132	10.38	2.11	6.192	7.01	3.591	7.526	12.889	13.761	16.45	12.726	12.084	11.21	4.705	3.181	5.4	5.548	3.195	9.882	15.533	9.718	10.306	11.005	10.669	12.683	4.328	6.693	4.345	3.829	4.018
YIR042C|NA	0.883	0.372	0.342	0.362	0.458	0.375	0.412	0.486	0.456	0.891	1.156	1.028	0.954	0.394	0.391	0.352	0.491	0.426	0.452	0.525	0.771	0.794	1.21	0.972	0.891	0.637	0.227	0.344	0.354	0.382	0.565	0.444	0.758	0.845	0.91	0.944
YKR049C|FMP46	11.118	18.158	16.01	19.409	19.419	18.59	19.989	15.054	6.14	5.095	3.809	4.469	10.135	19.791	16.499	16.248	14.525	15.283	16.201	13.545	4.703	5.505	3.99	3.86	10.19	19.639	20.307	14.746	17.08	16.861	19.552	10.949	5.949	4.091	4.263	5.331
YLL018C-A|COX19	1.471	1.511	1.729	1.57	1.53	1.829	1.79	1.785	1.993	0.836	0.912	1.212	1.522	1.606	1.437	1.763	1.643	1.39	1.701	3.338	1.433	1.287	1.305	1.388	1.625	1.879	1.607	1.268	1.204	1.379	1.706	3.525	1.102	1.071	1.31	1.55
YLR270W|DCS1	4.026	8.525	7.238	6.957	6.342	5.892	5.319	4.496	0.815	2.343	1.911	2.214	4.022	8.165	6.675	5.591	5.32	4.965	4.835	2.761	3.696	3.097	2.387	2.159	4.376	6.845	6.601	5.833	4.709	5.175	5.548	2.067	3.212	3.213	2.419	2.759
YMR152W|YIM1	1.809	4.237	2.394	2.654	2.109	2.481	1.625	2.393	0.673	1.164	1.348	1.112	1.359	2.947	2.642	2.233	2.225	2.395	2.439	1.944	1.202	1.503	1.231	1.298	1.753	4.631	2.876	2.86	2.417	2.285	2.863	1.244	1.177	1.332	1.189	1.167
YNL111C|CYB5	4.094	4.873	5.578	5.559	4.538	4.955	6.463	7.249	5.711	2.483	4.817	7.19	3.079	6.231	5.971	5.083	6.344	4.479	6.226	11.594	4.632	2.132	5.488	7.882	1.75	2.972	6.861	4.288	4.235	4.178	7.149	11.246	2.962	3.135	6.243	7.462
YNL200C|NA	1.271	6.827	6.795	6.733	4.448	6.569	5.954	5.306	0.536	1.345	1.84	1.251	2.35	6.283	6.275	5.187	5.602	6.151	4.68	2.192	1.341	1.635	1.376	1.229	2.713	6.398	6.783	6.403	5.449	6.098	5.002	1.41	1.9	1.804	1.374	1.498
YNR018W|AIM38	12.384	6.2	7.158	7.72	6.586	6.156	7.935	10.406	26.154	11.35	14.478	13.024	15.091	6.283	6.916	7.26	6.661	6.174	6.898	25.348	19.319	12.666	17.602	16.248	13.984	7.976	7.236	5.163	5.405	5.222	9.435	35.571	15.984	10.463	13.891	14.108
YOR215C|AIM41	8.607	14.917	14.375	13.422	11.097	11.925	11.914	10.893	2.634	5.808	5.614	5.901	7.889	13.445	11.909	15.106	16.547	11.223	11.246	8.045	4.552	6.658	5.077	5.308	9.486	19.27	16.652	12.546	13.374	13.363	12.563	5.335	4.559	6.166	5.933	5.106
YOR305W|NA	1.914	1.587	2.001	1.574	1.236	1.554	1.342	2.024	3.437	2.357	2.824	3.215	1.005	1.593	1.755	1.606	1.793	1.742	1.795	4.579	2.113	3.109	3.014	2.377	1.352	1.95	1.853	1.838	1.823	1.628	2.116	4.522	1.946	2.648	2.98	2.023
YPL107W|NA	2.235	2.628	2.918	2.137	1.785	1.962	1.931	1.956	2.3	1.73	1.372	1.478	2.193	2.677	2.619	2.444	1.594	1.849	2.243	1.79	3.035	1.471	1.516	1.993	2.223	2.43	2.598	2.055	1.855	1.835	2.128	2.713	2	1.479	1.551	1.412
YPL148C|PPT2	2.051	1.758	2.225	1.945	1.863	2.246	2.387	2.258	1.148	1.262	1.501	1.241	2.139	1.919	2.095	2.549	3.662	2.18	2.058	1.474	1.264	1.085	1.219	1.192	3.205	2.82	2.653	2.146	2.468	2.528	2.377	1.14	1.09	0.86	1.176	1.169
